0;22.39;7.73;4.8;2.62;1.89;1.54
1;23.19;8.01;4.97;2.7;1.96;1.59
2;24.28;8.37;5.2;2.83;2.05;1.67
3;25.45;8.78;5.44;2.96;2.14;1.75
4;26.71;9.2;5.71;3.1;2.24;1.83
5;28.03;9.66;5.99;3.26;2.36;1.92
6;29.39;10.13;6.28;3.41;2.47;2.01
7;30.78;10.61;6.58;3.57;2.6;2.11
8;32.17;11.09;6.88;3.74;2.71;2.2
9;33.53;11.56;7.17;3.9;2.83;2.29
10;34.86;12.02;7.45;4.05;2.94;2.4
11;36.15;12.47;7.73;4.2;3.05;2.48
12;37.41;12.9;8;4.36;3.16;2.57
13;38.61;13.32;8.26;4.5;3.26;2.66
14;39.79;13.72;8.51;4.64;3.36;2.74
15;40.94;14.13;8.76;4.77;3.46;2.83
16;42.09;14.52;9.01;4.91;3.56;2.91
17;43.24;14.92;9.26;5.05;3.66;3
18;44.41;15.33;9.52;5.18;3.76;3.08
19;45.6;15.74;9.77;5.32;3.88;3.16
20;46.83;16.16;10.03;5.47;3.98;3.26
21;48.1;16.6;10.31;5.62;4.1;3.36
22;49.4;17.05;10.59;5.79;4.21;3.45
23;50.73;17.51;10.88;5.95;4.34;3.56
24;52.09;17.99;11.18;6.11;4.46;3.66
25;53.47;18.47;11.48;6.28;4.59;3.78
26;54.87;18.96;11.79;6.45;4.72;3.9
27;56.29;19.45;12.1;6.63;4.86;4.01
28;57.71;19.95;12.41;6.81;5;4.14
29;59.15;20.45;12.73;6.99;5.14;4.26
30;60.58;20.95;13.05;7.19;5.29;4.4
31;62.01;21.46;13.37;7.37;5.44;4.53
32;63.44;21.96;13.69;7.56;5.59;4.67
33;64.85;22.47;14.02;7.76;5.75;4.82
34;66.25;22.98;14.34;7.96;5.91;4.97
35;67.61;23.47;14.67;8.15;6.08;5.11
36;68.92;23.95;14.97;8.34;6.24;5.27
37;70.18;24.41;15.28;8.54;6.41;5.42
38;71.38;24.84;15.58;8.74;6.58;5.58
39;72.51;25.27;15.86;8.93;6.74;5.73
40;73.56;25.67;16.14;9.11;6.91;5.9
41;74.52;26.04;16.4;9.3;7.07;6.06
42;75.39;26.39;16.65;9.49;7.24;6.22
43;76.14;26.7;16.87;9.66;7.4;6.38
44;76.78;26.99;17.08;9.82;7.54;6.54
45;77.27;27.22;17.28;9.97;7.69;6.69
46;77.61;27.41;17.43;10.11;7.83;0
47;77.81;27.55;17.56;10.23;7.96;0
48;77.87;27.63;17.65;10.34;8.09;0
49;77.81;27.67;17.71;10.43;8.22;0
50;77.66;27.69;17.77;10.53;8.35;0
51;77.43;27.69;17.81;10.62;0;0
52;77.13;27.66;17.85;10.72;0;0
53;76.77;27.62;17.88;10.82;0;0
54;76.33;27.56;17.9;10.93;0;0
55;75.82;27.47;17.91;11.05;0;0
56;75.25;27.38;17.91;0;0;0
57;74.62;27.27;17.94;0;0;0
58;73.93;27.16;17.97;0;0;0
59;73.2;27.07;18.04;0;0;0
60;72.4;27.01;18.13;0;0;0
61;71.33;26.82;0;0;0;0
62;70.15;26.63;0;0;0;0
63;68.84;0;0;0;0;0
64;67.35;0;0;0;0;0
65;65.66;0;0;0;0;0
