0;22.59;7.8;4.84;2.64;1.91;1.55
1;23.67;8.17;5.08;2.76;2;1.62
2;24.87;8.58;5.33;2.9;2.1;1.71
3;26.1;9;5.59;3.04;2.2;1.79
4;27.37;9.44;5.85;3.18;2.3;1.87
5;28.63;9.87;6.13;3.33;2.41;1.96
6;29.89;10.31;6.4;3.47;2.52;2.04
7;31.14;10.74;6.67;3.62;2.62;2.13
8;32.39;11.17;6.92;3.76;2.73;2.22
9;33.62;11.59;7.19;3.9;2.83;2.31
10;34.85;12.02;7.45;4.05;2.93;2.39
11;36.06;12.44;7.71;4.19;3.04;2.47
12;37.28;12.85;7.97;4.34;3.14;2.56
13;38.5;13.27;8.23;4.48;3.25;2.65
14;39.73;13.69;8.49;4.62;3.36;2.74
15;40.96;14.12;8.76;4.77;3.46;2.83
16;42.21;14.55;9.03;4.92;3.58;2.92
17;43.48;15;9.31;5.08;3.68;3.02
18;44.77;15.45;9.59;5.23;3.8;3.11
19;46.12;15.91;9.88;5.39;3.92;3.21
20;47.51;16.39;10.18;5.56;4.05;3.32
21;48.92;16.89;10.49;5.73;4.17;3.42
22;50.35;17.38;10.81;5.91;4.3;3.53
23;51.81;17.89;11.12;6.08;4.44;3.65
24;53.29;18.41;11.45;6.27;4.57;3.76
25;54.8;18.94;11.78;6.45;4.71;3.87
26;56.33;19.47;12.11;6.63;4.85;4
27;57.89;20.01;12.45;6.83;4.99;4.12
28;59.47;20.57;12.8;7.02;5.15;4.26
29;61.09;21.13;13.16;7.22;5.3;4.39
30;62.74;21.71;13.52;7.43;5.46;4.55
31;64.42;22.29;13.89;7.65;5.63;4.7
32;66.15;22.9;14.27;7.87;5.81;4.86
33;67.92;23.53;14.67;8.1;6;5.04
34;69.73;24.16;15.07;8.34;6.2;5.23
35;71.55;24.81;15.48;8.59;6.41;5.43
36;73.41;25.46;15.91;8.86;6.63;5.65
37;75.27;26.13;16.34;9.12;6.86;5.87
38;77.12;26.8;16.79;9.4;7.11;6.12
39;78.96;27.48;17.22;9.69;7.37;6.38
40;80.78;28.14;17.67;10;7.64;6.66
41;82.56;28.81;18.12;10.3;7.93;6.95
42;84.28;29.46;18.58;10.63;8.23;7.26
43;85.91;30.1;19.03;10.95;8.54;7.58
44;87.43;30.71;19.46;11.29;8.87;7.92
45;88.82;31.29;19.89;11.62;9.21;8.28
46;90.03;31.82;20.29;11.96;9.56;0
47;91.07;32.3;20.67;12.3;9.91;0
48;91.92;32.73;21.03;12.64;10.26;0
49;92.57;33.1;21.36;12.97;10.63;0
50;93;33.41;21.66;13.3;11.01;0
51;93.19;33.66;21.94;13.64;0;0
52;93.13;33.84;22.19;13.96;0;0
53;92.8;33.94;22.41;14.27;0;0
54;92.18;33.97;22.56;14.56;0;0
55;91.25;33.9;22.66;14.83;0;0
56;90.03;33.72;22.71;0;0;0
57;88.57;33.46;22.71;0;0;0
58;86.91;33.12;22.68;0;0;0
59;85.12;32.78;22.64;0;0;0
60;83.25;32.48;22.61;0;0;0
61;81.05;31.94;0;0;0;0
62;78.82;31.39;0;0;0;0
63;76.61;0;0;0;0;0
64;74.43;0;0;0;0;0
65;72.28;0;0;0;0;0
